name,isin,bse,nse,series,url
ASIAN-RE1,INE022I20027,750709,ASIAN-RE1,,https://www.moneycontrol.com/india/stockpricequote/ceramicsmarblegranitesanitaryware/asiangranitoindiare1/AGI06
ASIIC,INE512R01010,542377,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aarshyamindiainvestmentcom/AARSH54237
ASIS Logistics,INE888E01020,506159,,,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/asislogistics/P07
ASK Auto,INE491J01022,544022,ASKAUTOLTD,EQ,https://www.moneycontrol.com/india/stockpricequote/autoancillariesbrakes/askautomotive/AAL02
ASL Industries,INE617I01024,0,ASLIND,SM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aslindustries/AI77
ASM Tech,INE867C01010,526433,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/asmtechnologies/ASM04
ASM Tech PP,IN9867C01018,890167,,,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/asmtechnologiespartlypaidup/ATP
ASMTEC-RE,INE867C20028,750703,,,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/asmtechnologiesre/ATR01
ASRL-RE,INE01B520018,750726,,,https://www.moneycontrol.com/india/stockpricequote/retailing/addshoperetailre/AER01
ATN Int,INE803A01027,511427,ATNINTER,,https://www.moneycontrol.com/india/stockpricequote/atnint/atninternational/AI50
ATV Projects,INE447A01015,500028,ATVPROJ,,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/atvprojectsindia/ATV
AU Small Financ,INE949L01017,540611,AUBANK,EQ,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/ausmallfinancebank/ASF02
AURUM-RE,INE898S20011,750710,AURUM-RE,,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/aurumproptechre/APR03
AUTOBEES,INF204KC1337,0,AUTOBEES,EQ,https://www.moneycontrol.com/india/stockpricequote/autobees/nipponindianiftyautoetf/NIN01
AVAILABLE FINAN,INE325G01010,531310,,,https://www.moneycontrol.com/india/stockpricequote/availablefinan/availablefinance/FF02
AVG Logistics,INE680Z01018,543910,AVG,EQ,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/avglogistics/ALL02
AVI Photochem,INE316O01021,523896,,,https://www.moneycontrol.com/india/stockpricequote/chemicals/aviphotochem/AVI02
AVI Polymers,INE897N01014,539288,,,https://www.moneycontrol.com/india/stockpricequote/avipolymers/avipolymers/AVI04
AVISHKAR INFRA,INE433O01024,508929,,,https://www.moneycontrol.com/india/stockpricequote/avishkarinfra/avishkarinfrarealty/JR01
AVP Infracon,INE0R9401019,0,AVPINFRA,,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/avpinfracon/AIL07
AVPINFRA,INE0R9401019,,AVPINFRA,SM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/avpinfra/AVPIN23164
AVSL Industries,INE522V01011,0,AVSL,ST,https://www.moneycontrol.com/india/stockpricequote/avslindustries/avslindustries/AI75
AVT Natural,INE488D01021,519105,AVTNPL,EQ,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/avtnaturalproducts/AVT02
AVTIL Ent,INE292N01018,504390,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/avtilenterprise/AVT01
AXISBNKETF,INF846K01X63,0,AXISBNKETF,EQ,https://www.moneycontrol.com/india/stockpricequote/etf/axisniftybanketf/ANB
AXISBPSETF,INF846K01Z04,0,AXISBPSETF,EQ,https://www.moneycontrol.com/india/stockpricequote/axisbpsetf/axisniftyaaabondplussdlapr20265050etf/AMF04
AXISCETF,INF846K016C7,0,AXISCETF,EQ,https://www.moneycontrol.com/india/stockpricequote/axiscetf/axisniftyindiaconsumptionetf/ACE02
AXISHCETF,INF846K01Z12,0,AXISHCETF,EQ,https://www.moneycontrol.com/india/stockpricequote/axishcetf/axisniftyhealthcareetf/AHE02
AXISILVER,INF846K011K1,,AXISILVER,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/axisilver/AXISI11193
