symbol,isin,exchange,date,open,high,low,close,volume,year,month,day,ym
NITINSPINNER,532698,BSE,2021-12-14,248.0,255.65,247.7,251.65,10537,2021,12,14,202112
ROYALORCH   ,532699,BSE,2021-12-14,86.85,86.85,83.6,86.0,819,2021,12,14,202112
ENT NETWORK ,532700,BSE,2021-12-14,191.55,196.9,188.7,191.05,2349,2021,12,14,202112
CELLA       ,532701,BSE,2021-12-14,5.42,5.42,5.2,5.23,4857,2021,12,14,202112
GUJ PETRONET,532702,BSE,2021-12-14,318.0,325.9,313.0,319.2,100855,2021,12,14,202112
JAGRAN PRAK ,532705,BSE,2021-12-14,66.25,66.6,65.0,65.25,33643,2021,12,14,202112
INOX LEISURE,532706,BSE,2021-12-14,395.85,414.4,384.0,410.0,77608,2021,12,14,202112
DYNEMIC PRO ,532707,BSE,2021-12-14,654.95,654.95,602.45,607.25,2017,2021,12,14,202112
SADBHAV ENGG,532710,BSE,2021-12-14,43.8,43.8,42.0,42.35,102208,2021,12,14,202112
REL COM LTD ,532712,BSE,2021-12-14,3.68,3.81,3.55,3.6,28982567,2021,12,14,202112
SAKUMA EXPO ,532713,BSE,2021-12-14,15.5,15.5,14.66,14.99,289969,2021,12,14,202112
KEC INTERN  ,532714,BSE,2021-12-14,435.0,453.7,433.6,450.5,11462,2021,12,14,202112
GILLA ARBUT ,532716,BSE,2021-12-14,63.0,65.45,61.55,65.45,32663,2021,12,14,202112
INDOTECHTR  ,532717,BSE,2021-12-14,215.5,222.0,212.35,219.25,1891,2021,12,14,202112
BL KASHYAP  ,532719,BSE,2021-12-14,30.15,31.4,29.4,30.2,101988,2021,12,14,202112
M&M FINANSER,532720,BSE,2021-12-14,166.1,166.1,161.05,162.35,158831,2021,12,14,202112
VISA STEEL  ,532721,BSE,2021-12-14,14.4,14.4,13.65,14.0,1906,2021,12,14,202112
NITCO TILES ,532722,BSE,2021-12-14,26.7,28.9,26.15,28.15,35798,2021,12,14,202112
MPDL        ,532723,BSE,2021-12-14,14.54,14.54,13.2,13.54,1115,2021,12,14,202112
